Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
QC Analyst,Chrome 67.0.3396.99,User must have QC Analyst role,2018-07-27 16:30:22,2018-07-27 16:34:36,4m - 14.794s,FAILED
,,,,,,
Test Cases/DavidsonQueryTest,Chrome 67.0.3396.99,Opens the Davidson Project in the QC analyst environment and checks the Project Items grid to be sure '1072' items are found\n\nRequires QCAnalyst role,2018-07-27 16:30:22,2018-07-27 16:31:06,44.247s,FAILED
callTestCase,Chrome 67.0.3396.99,,2018-07-27 16:30:22,2018-07-27 16:30:36,13.900s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-27 16:30:36,2018-07-27 16:30:41,4.856s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-27 16:30:41,2018-07-27 16:30:46,4.675s,PASSED
click,Chrome 67.0.3396.99,Click here to get Cesium Help to disappear,2018-07-27 16:30:46,2018-07-27 16:30:46,0.106s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 16:30:46,2018-07-27 16:30:46,0.114s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 16:30:46,2018-07-27 16:30:46,0.137s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 16:30:46,2018-07-27 16:30:46,0.076s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 16:30:46,2018-07-27 16:30:46,0.238s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 16:30:46,2018-07-27 16:30:46,0.095s,PASSED
genericGrid.gridOperations.ExecuteGridFunction,Chrome 67.0.3396.99,,2018-07-27 16:30:46,2018-07-27 16:30:48,1.358s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-27 16:30:48,2018-07-27 16:31:06,18.349s,FAILED
,,,,,,
Test Cases/CreateProjectWithFootprint,Chrome 67.0.3396.99,"Calls create project to create ATPProjectFootprint with HoustonBayArea as footprint. Deletes project if it exists, then recreates it\n\nRequires System Admin role (in order to delete the project if it already exists)",2018-07-27 16:31:06,2018-07-27 16:31:32,25.467s,FAILED
callTestCase,Chrome 67.0.3396.99,,2018-07-27 16:31:06,2018-07-27 16:31:19,12.284s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-27 16:31:19,2018-07-27 16:31:21,2.021s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-27 16:31:21,2018-07-27 16:31:25,4.703s,PASSED
click,Chrome 67.0.3396.99,Click here to get Cesium Canvas to disappear,2018-07-27 16:31:25,2018-07-27 16:31:25,0.094s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-27 16:31:25,2018-07-27 16:31:32,6.250s,FAILED
,,,,,,
Test Cases/GeneratePyramids,Chrome 67.0.3396.99,"Opens the Davidson project, clears the working set, filters the project itesm to a small set using name='DavCo_AA', adds them to the working set, opens the working set and executes the generate pyramids process\n\nRequires QCAnalyst role",2018-07-27 16:31:32,2018-07-27 16:31:58,26.259s,ERROR
callTestCase,Chrome 67.0.3396.99,,2018-07-27 16:31:32,2018-07-27 16:31:44,12.155s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-27 16:31:44,2018-07-27 16:31:46,2.011s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-27 16:31:46,2018-07-27 16:31:51,4.653s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 16:31:51,2018-07-27 16:31:51,0.102s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 16:31:51,2018-07-27 16:31:51,0.119s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 16:31:51,2018-07-27 16:31:51,0.115s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-27 16:31:51,2018-07-27 16:31:51,0.196s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 16:31:51,2018-07-27 16:31:51,0.084s,PASSED
genericGrid.gridOperations.ExecuteGridFunction,Chrome 67.0.3396.99,,2018-07-27 16:31:51,2018-07-27 16:31:53,1.333s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-27 16:31:53,2018-07-27 16:31:55,2.660s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-27 16:31:55,2018-07-27 16:31:58,2.657s,PASSED
genericGrid.gridOperations.SetGridFirstColumn,Chrome 67.0.3396.99,,2018-07-27 16:31:58,2018-07-27 16:31:58,0.018s,ERROR
,,,,,,
Test Cases/LidarLoader,Chrome 67.0.3396.99,"Executes Lidar Loader to catalog files found in the S3 bucket gcesp-lidar/ATP, using an ATPLIdar prefix, and loading into the project ATPLidarProject, without copying the data into ESP, using an SRS file: Z:\\ESP\\Test_data\\swfwmd\\Hernando\\stplanFLWest.srs\nRequires standard USER group + CanExecuteLidarLoader",2018-07-27 16:31:58,2018-07-27 16:32:30,31.733s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-27 16:31:58,2018-07-27 16:32:10,12.253s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-27 16:32:10,2018-07-27 16:32:10,0.017s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-27 16:32:10,2018-07-27 16:32:12,1.969s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-27 16:32:12,2018-07-27 16:32:17,4.659s,PASSED
click,Chrome 67.0.3396.99,,2018-07-27 16:32:17,2018-07-27 16:32:17,0.204s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-27 16:32:17,2018-07-27 16:32:21,4.267s,PASSED
