Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User,Firefox 61.0,,2018-07-23 13:08:44,2018-07-23 13:14:25,5m - 41.310s,PASSED
,,,,,,
Test Cases/Landsat8AndNAIPOrder,Firefox 61.0,"Submits an order by taking the first landsat item and the first NAIP item from the search results,  found using an AOI set by the view centered on Birmingham AL\n\nRequires standard USER group",2018-07-23 13:08:44,2018-07-23 13:09:31,47.242s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:08:45,2018-07-23 13:08:46,1.027s,PASSED
openBrowser,Firefox 61.0,,2018-07-23 13:08:46,2018-07-23 13:08:50,4.009s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-23 13:08:50,2018-07-23 13:08:50,0.653s,PASSED
setText,Firefox 61.0,,2018-07-23 13:08:50,2018-07-23 13:08:50,0.117s,PASSED
setText,Firefox 61.0,,2018-07-23 13:08:50,2018-07-23 13:08:50,0.073s,PASSED
click,Firefox 61.0,,2018-07-23 13:08:50,2018-07-23 13:08:53,2.192s,PASSED
setText,Firefox 61.0,,2018-07-23 13:08:53,2018-07-23 13:08:53,0.103s,PASSED
click,Firefox 61.0,,2018-07-23 13:08:53,2018-07-23 13:08:53,0.487s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 61.0,,2018-07-23 13:08:53,2018-07-23 13:08:57,4.005s,PASSED
click,Firefox 61.0,,2018-07-23 13:08:57,2018-07-23 13:08:58,0.347s,PASSED
click,Firefox 61.0,,2018-07-23 13:08:58,2018-07-23 13:08:58,0.295s,PASSED
check,Firefox 61.0,,2018-07-23 13:08:58,2018-07-23 13:08:58,0.001s,NOT_RUN
productSelection.productSelection.SelectChildProduct,Firefox 61.0,,2018-07-23 13:08:58,2018-07-23 13:08:59,0.655s,PASSED
click,Firefox 61.0,,2018-07-23 13:08:59,2018-07-23 13:08:59,0.300s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 61.0,,2018-07-23 13:08:59,2018-07-23 13:09:03,4.000s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:03,2018-07-23 13:09:04,0.716s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:04,2018-07-23 13:09:04,0.617s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:04,2018-07-23 13:09:05,0.682s,PASSED
productSelection.productSelection.clearAllProducts,Firefox 61.0,,2018-07-23 13:09:05,2018-07-23 13:09:15,10.043s,PASSED
productSelection.productSelection.SelectChildProduct,Firefox 61.0,,2018-07-23 13:09:15,2018-07-23 13:09:16,1.090s,PASSED
check,Firefox 61.0,,2018-07-23 13:09:16,2018-07-23 13:09:16,0.000s,NOT_RUN
uncheck,Firefox 61.0,,2018-07-23 13:09:16,2018-07-23 13:09:16,0.001s,NOT_RUN
click,Firefox 61.0,,2018-07-23 13:09:16,2018-07-23 13:09:17,1.080s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 61.0,,2018-07-23 13:09:17,2018-07-23 13:09:21,4.001s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:21,2018-07-23 13:09:21,0.329s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:21,2018-07-23 13:09:22,0.408s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:22,2018-07-23 13:09:22,0.501s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:22,2018-07-23 13:09:23,0.315s,PASSED
Statement - date = new java.util.Date(),Firefox 61.0,,2018-07-23 13:09:23,2018-07-23 13:09:23,0.004s,PASSED
Statement - sdf = new java.text.SimpleDateFormat(yyyy-MM-dd HH:mm:ss),Firefox 61.0,,2018-07-23 13:09:23,2018-07-23 13:09:23,0.001s,PASSED
Statement - aDate = sdf.format(new java.util.Date()),Firefox 61.0,,2018-07-23 13:09:23,2018-07-23 13:09:23,0.000s,PASSED
"Statement - OName = ""ATPLSandNAIP-"" + aDate",Firefox 61.0,,2018-07-23 13:09:23,2018-07-23 13:09:23,0.000s,PASSED
setText,Firefox 61.0,,2018-07-23 13:09:23,2018-07-23 13:09:23,0.260s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:23,2018-07-23 13:09:23,0.452s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:23,2018-07-23 13:09:24,0.334s,PASSED
delay,Firefox 61.0,,2018-07-23 13:09:24,2018-07-23 13:09:27,3.005s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:27,2018-07-23 13:09:27,0.339s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:09:27,2018-07-23 13:09:31,4.433s,PASSED
,,,,,,
Test Cases/Landsat8AndOrthosOrder,Firefox 61.0,"Submits an order for 1 landsat image and one NAIP image taken from the Houston area, taking the first item from the search results grid fo each\n\nRequires standard USER group",2018-07-23 13:09:31,2018-07-23 13:10:02,30.617s,PASSED
Statement - myColumnSortObject = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Earth Sensor Portal/SearchResults/CoveredAreasTab/ColumnSort),Firefox 61.0,,2018-07-23 13:09:32,2018-07-23 13:09:32,0.000s,PASSED
"Statement - ColumnSortXp = myColumnSortObject.findPropertyValue(""xpath"")",Firefox 61.0,,2018-07-23 13:09:32,2018-07-23 13:09:32,0.000s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:09:32,2018-07-23 13:09:32,0.141s,PASSED
openBrowser,Firefox 61.0,,2018-07-23 13:09:32,2018-07-23 13:09:35,2.810s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-23 13:09:35,2018-07-23 13:09:35,0.532s,PASSED
setText,Firefox 61.0,,2018-07-23 13:09:35,2018-07-23 13:09:35,0.077s,PASSED
setText,Firefox 61.0,,2018-07-23 13:09:35,2018-07-23 13:09:35,0.048s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:35,2018-07-23 13:09:37,2.039s,PASSED
setText,Firefox 61.0,,2018-07-23 13:09:37,2018-07-23 13:09:37,0.071s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:37,2018-07-23 13:09:38,0.347s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 61.0,,2018-07-23 13:09:38,2018-07-23 13:09:42,4.001s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:42,2018-07-23 13:09:42,0.352s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:42,2018-07-23 13:09:42,0.279s,PASSED
productSelection.productSelection.SelectChildProduct,Firefox 61.0,,2018-07-23 13:09:42,2018-07-23 13:09:43,0.284s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:43,2018-07-23 13:09:43,0.000s,NOT_RUN
productSelection.productSelection.SelectProduct,Firefox 61.0,,2018-07-23 13:09:43,2018-07-23 13:09:43,0.578s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:43,2018-07-23 13:09:43,0.000s,NOT_RUN
click,Firefox 61.0,,2018-07-23 13:09:43,2018-07-23 13:09:44,0.307s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 61.0,,2018-07-23 13:09:44,2018-07-23 13:09:48,4.001s,PASSED
"Statement - Xp = ColumnSortXp.replace(""Column"", ""Name"")",Firefox 61.0,,2018-07-23 13:09:48,2018-07-23 13:09:48,0.001s,PASSED
"Statement - println(""Column Sort Xp = "" + Xp)",Firefox 61.0,,2018-07-23 13:09:48,2018-07-23 13:09:48,0.001s,PASSED
"Statement - tmpObject = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(myColumnSortObject, ""xpath"", ""equals"", Xp, true)",Firefox 61.0,,2018-07-23 13:09:48,2018-07-23 13:09:48,0.000s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:48,2018-07-23 13:09:48,0.478s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:48,2018-07-23 13:09:48,0.497s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:48,2018-07-23 13:09:49,0.470s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:49,2018-07-23 13:09:49,0.448s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:49,2018-07-23 13:09:50,0.642s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:50,2018-07-23 13:09:51,0.554s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:51,2018-07-23 13:09:51,0.551s,PASSED
Statement - date = new java.util.Date(),Firefox 61.0,,2018-07-23 13:09:51,2018-07-23 13:09:51,0.000s,PASSED
Statement - sdf = new java.text.SimpleDateFormat(yyyy-MM-dd HH:mm:ss),Firefox 61.0,,2018-07-23 13:09:51,2018-07-23 13:09:51,0.000s,PASSED
Statement - aDate = sdf.format(new java.util.Date()),Firefox 61.0,,2018-07-23 13:09:51,2018-07-23 13:09:51,0.000s,PASSED
"Statement - OName = ""ATPLSandOrthoOrder-"" + aDate",Firefox 61.0,,2018-07-23 13:09:51,2018-07-23 13:09:51,0.000s,PASSED
setText,Firefox 61.0,,2018-07-23 13:09:51,2018-07-23 13:09:52,0.402s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:52,2018-07-23 13:09:52,0.570s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:52,2018-07-23 13:09:53,0.619s,PASSED
delay,Firefox 61.0,,2018-07-23 13:09:53,2018-07-23 13:09:56,3.001s,PASSED
click,Firefox 61.0,,2018-07-23 13:09:56,2018-07-23 13:09:56,0.571s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:09:56,2018-07-23 13:10:02,5.743s,PASSED
,,,,,,
Test Cases/LidarandOrthosOrder,Firefox 61.0,Orders Lidar and Orthos from Houston Bay area using an imported AOI: \\\\diskstation1\\Data\\esp\\test_data\\HoustonBayArea.zip\n\nOrders all of the items found in this search\nRequires standard USER group,2018-07-23 13:10:02,2018-07-23 13:10:33,31.311s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:10:02,2018-07-23 13:10:02,0.110s,PASSED
openBrowser,Firefox 61.0,,2018-07-23 13:10:02,2018-07-23 13:10:05,2.795s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-23 13:10:05,2018-07-23 13:10:06,0.629s,PASSED
setText,Firefox 61.0,,2018-07-23 13:10:06,2018-07-23 13:10:06,0.071s,PASSED
setText,Firefox 61.0,,2018-07-23 13:10:06,2018-07-23 13:10:06,0.060s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:06,2018-07-23 13:10:08,2.110s,PASSED
setText,Firefox 61.0,,2018-07-23 13:10:08,2018-07-23 13:10:08,0.086s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:08,2018-07-23 13:10:08,0.321s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 61.0,,2018-07-23 13:10:08,2018-07-23 13:10:12,4.001s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:12,2018-07-23 13:10:13,0.364s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:13,2018-07-23 13:10:13,0.289s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:13,2018-07-23 13:10:13,0.000s,NOT_RUN
click,Firefox 61.0,,2018-07-23 13:10:13,2018-07-23 13:10:13,0.000s,NOT_RUN
productSelection.productSelection.SelectProduct,Firefox 61.0,,2018-07-23 13:10:13,2018-07-23 13:10:13,0.280s,PASSED
productSelection.productSelection.SelectProduct,Firefox 61.0,,2018-07-23 13:10:13,2018-07-23 13:10:14,0.558s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:14,2018-07-23 13:10:14,0.315s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 61.0,,2018-07-23 13:10:14,2018-07-23 13:10:18,4.001s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:18,2018-07-23 13:10:19,0.437s,PASSED
sendKeys,Firefox 61.0,,2018-07-23 13:10:19,2018-07-23 13:10:19,0.091s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:19,2018-07-23 13:10:19,0.428s,PASSED
waitForElementVisible,Firefox 61.0,,2018-07-23 13:10:19,2018-07-23 13:10:19,0.117s,PASSED
delay,Firefox 61.0,,2018-07-23 13:10:19,2018-07-23 13:10:22,3.000s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:22,2018-07-23 13:10:23,0.422s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:23,2018-07-23 13:10:23,0.432s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:23,2018-07-23 13:10:24,0.549s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:24,2018-07-23 13:10:24,0.488s,PASSED
Statement - date = new java.util.Date(),Firefox 61.0,,2018-07-23 13:10:24,2018-07-23 13:10:24,0.001s,PASSED
Statement - sdf = new java.text.SimpleDateFormat(yyyy-MM-dd HH:mm:ss),Firefox 61.0,,2018-07-23 13:10:24,2018-07-23 13:10:24,0.000s,PASSED
Statement - aDate = sdf.format(new java.util.Date()),Firefox 61.0,,2018-07-23 13:10:24,2018-07-23 13:10:24,0.001s,PASSED
"Statement - OName = ""ATPLidarandOrthoOrder-"" + aDate",Firefox 61.0,,2018-07-23 13:10:24,2018-07-23 13:10:24,0.000s,PASSED
setText,Firefox 61.0,,2018-07-23 13:10:24,2018-07-23 13:10:24,0.269s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:24,2018-07-23 13:10:25,0.634s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:25,2018-07-23 13:10:25,0.410s,PASSED
delay,Firefox 61.0,,2018-07-23 13:10:25,2018-07-23 13:10:28,3.002s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:28,2018-07-23 13:10:29,0.365s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:10:29,2018-07-23 13:10:33,4.512s,PASSED
,,,,,,
Test Cases/LidarPostProcessing,Firefox 61.0,"Orders Lidar from Williston FL, using the SWFWMD company, adds post processing for Clipping and images (Hillshade, Intensity, Slope)\n\nRequires standard USER group",2018-07-23 13:10:33,2018-07-23 13:11:02,28.418s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:10:34,2018-07-23 13:10:34,0.087s,PASSED
openBrowser,Firefox 61.0,,2018-07-23 13:10:34,2018-07-23 13:10:36,2.782s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-23 13:10:36,2018-07-23 13:10:37,0.781s,PASSED
setText,Firefox 61.0,,2018-07-23 13:10:37,2018-07-23 13:10:37,0.191s,PASSED
setText,Firefox 61.0,,2018-07-23 13:10:37,2018-07-23 13:10:37,0.076s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:37,2018-07-23 13:10:39,1.963s,PASSED
setText,Firefox 61.0,,2018-07-23 13:10:39,2018-07-23 13:10:40,0.126s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:40,2018-07-23 13:10:40,0.329s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 61.0,,2018-07-23 13:10:40,2018-07-23 13:10:44,4.001s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:44,2018-07-23 13:10:44,0.379s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:44,2018-07-23 13:10:45,0.297s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:45,2018-07-23 13:10:45,0.000s,NOT_RUN
productSelection.productSelection.SelectProduct,Firefox 61.0,,2018-07-23 13:10:45,2018-07-23 13:10:45,0.545s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:45,2018-07-23 13:10:45,0.335s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 61.0,,2018-07-23 13:10:45,2018-07-23 13:10:49,4.001s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:49,2018-07-23 13:10:50,0.356s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:50,2018-07-23 13:10:50,0.336s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:50,2018-07-23 13:10:51,0.487s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:51,2018-07-23 13:10:51,0.299s,PASSED
Statement - date = new java.util.Date(),Firefox 61.0,,2018-07-23 13:10:51,2018-07-23 13:10:51,0.001s,PASSED
Statement - sdf = new java.text.SimpleDateFormat(yyyy-MM-dd HH:mm:ss),Firefox 61.0,,2018-07-23 13:10:51,2018-07-23 13:10:51,0.000s,PASSED
Statement - aDate = sdf.format(new java.util.Date()),Firefox 61.0,,2018-07-23 13:10:51,2018-07-23 13:10:51,0.001s,PASSED
"Statement - OName = ""ATPLIdarPostProcessing-"" + aDate",Firefox 61.0,,2018-07-23 13:10:51,2018-07-23 13:10:51,0.000s,PASSED
setText,Firefox 61.0,,2018-07-23 13:10:51,2018-07-23 13:10:51,0.193s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:51,2018-07-23 13:10:51,0.384s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:51,2018-07-23 13:10:52,0.320s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:52,2018-07-23 13:10:53,0.802s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:53,2018-07-23 13:10:53,0.347s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:53,2018-07-23 13:10:53,0.357s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:53,2018-07-23 13:10:54,0.305s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:54,2018-07-23 13:10:54,0.270s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:54,2018-07-23 13:10:54,0.282s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:54,2018-07-23 13:10:54,0.283s,PASSED
setText,Firefox 61.0,,2018-07-23 13:10:54,2018-07-23 13:10:54,0.070s,PASSED
delay,Firefox 61.0,,2018-07-23 13:10:54,2018-07-23 13:10:57,3.000s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:57,2018-07-23 13:10:58,0.503s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:58,2018-07-23 13:10:58,0.480s,PASSED
click,Firefox 61.0,,2018-07-23 13:10:58,2018-07-23 13:10:59,0.317s,PASSED
delay,Firefox 61.0,,2018-07-23 13:10:59,2018-07-23 13:11:02,3.000s,PASSED
click,Firefox 61.0,,2018-07-23 13:11:02,2018-07-23 13:11:02,0.000s,NOT_RUN
callTestCase,Firefox 61.0,,2018-07-23 13:11:02,2018-07-23 13:11:02,0.000s,NOT_RUN
,,,,,,
Test Cases/NAIPFilteredOrder,Firefox 61.0,"Orders One NAIP file from the MIAMI beach area, search results filterd in product selection to only show items where acquisition data > 01/01/2014\n\nRequires standard USER group",2018-07-23 13:11:02,2018-07-23 13:11:31,29.384s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:11:02,2018-07-23 13:11:02,0.104s,PASSED
openBrowser,Firefox 61.0,,2018-07-23 13:11:02,2018-07-23 13:11:05,3.112s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-23 13:11:05,2018-07-23 13:11:06,0.616s,PASSED
setText,Firefox 61.0,,2018-07-23 13:11:06,2018-07-23 13:11:06,0.069s,PASSED
