Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User,Chrome 67.0.3396.99,,2018-07-31 13:25:08,2018-07-31 13:29:30,4m - 21.759s,FAILED
,,,,,,
Test Cases/Landsat8AndNAIPOrder,Chrome 67.0.3396.99,"Submits an order by taking the first landsat item and the first NAIP item from the search results,  found using an AOI set by the view centered on Birmingham AL\n\nRequires standard USER group",2018-07-31 13:25:09,2018-07-31 13:25:51,41.779s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-31 13:25:09,2018-07-31 13:25:24,14.806s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-31 13:25:24,2018-07-31 13:25:24,0.021s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-31 13:25:24,2018-07-31 13:25:24,0.183s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:24,2018-07-31 13:25:24,0.099s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-31 13:25:24,2018-07-31 13:25:24,0.021s,PASSED
delay,Chrome 67.0.3396.99,"Not sure why this is needed, but we have to wait until Cesium search is finished resetting the view before we can rest the AOI to the view ",2018-07-31 13:25:24,2018-07-31 13:25:27,3.007s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:27,2018-07-31 13:25:28,0.473s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-31 13:25:28,2018-07-31 13:25:28,0.046s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:28,2018-07-31 13:25:28,0.154s,PASSED
productSelection.productSelection.SelectChildProduct,Chrome 67.0.3396.99,,2018-07-31 13:25:28,2018-07-31 13:25:28,0.153s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:28,2018-07-31 13:25:28,0.167s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-31 13:25:28,2018-07-31 13:25:30,1.834s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:30,2018-07-31 13:25:30,0.314s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:30,2018-07-31 13:25:31,0.557s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:31,2018-07-31 13:25:32,1.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:32,2018-07-31 13:25:32,0.090s,PASSED
productSelection.productSelection.clearAllProducts,Chrome 67.0.3396.99,,2018-07-31 13:25:32,2018-07-31 13:25:38,6.413s,PASSED
productSelection.productSelection.SelectChildProduct,Chrome 67.0.3396.99,,2018-07-31 13:25:38,2018-07-31 13:25:39,0.087s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:39,2018-07-31 13:25:39,0.240s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-31 13:25:39,2018-07-31 13:25:40,1.042s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:40,2018-07-31 13:25:40,0.494s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:40,2018-07-31 13:25:41,0.608s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:41,2018-07-31 13:25:41,0.312s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:41,2018-07-31 13:25:42,0.222s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 13:25:42,2018-07-31 13:25:42,0.115s,PASSED
Statement - date = new java.util.Date(),Chrome 67.0.3396.99,,2018-07-31 13:25:42,2018-07-31 13:25:42,0.005s,PASSED
Statement - sdf = new java.text.SimpleDateFormat(yyyy-MM-dd HH:mm:ss),Chrome 67.0.3396.99,,2018-07-31 13:25:42,2018-07-31 13:25:42,0.006s,PASSED
Statement - aDate = sdf.format(new java.util.Date()),Chrome 67.0.3396.99,,2018-07-31 13:25:42,2018-07-31 13:25:42,0.001s,PASSED
"Statement - OName = ""ATPLSandNAIP-"" + aDate",Chrome 67.0.3396.99,,2018-07-31 13:25:42,2018-07-31 13:25:42,0.000s,PASSED
