Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User,Firefox 59.0,,2018-06-29 13:11:48,2018-06-29 13:12:44,56.025s,FAILED
,,,,,,
Test Cases/Landsat8AndNAIPOrder,Firefox 59.0,"Submits an order by taking the first landsat item and the first NAIP item from the search results,  found using an AOI set by the view centered on Birmingham AL\n\nRequires standard USER group",2018-06-29 13:11:49,2018-06-29 13:12:44,55.298s,FAILED
callTestCase,Firefox 59.0,,2018-06-29 13:11:49,2018-06-29 13:11:50,1.051s,PASSED
openBrowser,Firefox 59.0,,2018-06-29 13:11:50,2018-06-29 13:11:54,4.452s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-29 13:11:54,2018-06-29 13:11:55,0.660s,PASSED
setText,Firefox 59.0,,2018-06-29 13:11:55,2018-06-29 13:11:55,0.154s,PASSED
setText,Firefox 59.0,,2018-06-29 13:11:55,2018-06-29 13:11:55,0.057s,PASSED
click,Firefox 59.0,,2018-06-29 13:11:55,2018-06-29 13:11:57,2.120s,PASSED
setText,Firefox 59.0,,2018-06-29 13:11:57,2018-06-29 13:11:58,0.124s,PASSED
click,Firefox 59.0,,2018-06-29 13:11:58,2018-06-29 13:11:58,0.329s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-29 13:11:58,2018-06-29 13:12:02,4.006s,PASSED
click,Firefox 59.0,,2018-06-29 13:12:02,2018-06-29 13:12:02,0.355s,PASSED
click,Firefox 59.0,,2018-06-29 13:12:02,2018-06-29 13:12:03,0.565s,PASSED
check,Firefox 59.0,,2018-06-29 13:12:03,2018-06-29 13:12:03,0.290s,PASSED
click,Firefox 59.0,,2018-06-29 13:12:03,2018-06-29 13:12:03,0.286s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-29 13:12:03,2018-06-29 13:12:07,4.001s,PASSED
click,Firefox 59.0,,2018-06-29 13:12:07,2018-06-29 13:12:08,0.303s,PASSED
click,Firefox 59.0,,2018-06-29 13:12:08,2018-06-29 13:12:08,0.349s,PASSED
click,Firefox 59.0,,2018-06-29 13:12:08,2018-06-29 13:12:08,0.257s,PASSED
check,Firefox 59.0,,2018-06-29 13:12:08,2018-06-29 13:12:08,0.019s,PASSED
uncheck,Firefox 59.0,,2018-06-29 13:12:08,2018-06-29 13:12:09,0.260s,PASSED
click,Firefox 59.0,,2018-06-29 13:12:09,2018-06-29 13:12:09,0.322s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-29 13:12:09,2018-06-29 13:12:13,4.000s,PASSED
click,Firefox 59.0,,2018-06-29 13:12:13,2018-06-29 13:12:44,30.999s,FAILED
