Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User,Firefox 59.0,,2018-06-29 13:17:41,2018-06-29 13:18:16,35.528s,PASSED
,,,,,,
Test Cases/Landsat8AndNAIPOrder,Firefox 59.0,"Submits an order by taking the first landsat item and the first NAIP item from the search results,  found using an AOI set by the view centered on Birmingham AL\n\nRequires standard USER group",2018-06-29 13:17:41,2018-06-29 13:18:16,35.206s,PASSED
callTestCase,Firefox 59.0,,2018-06-29 13:17:42,2018-06-29 13:17:43,0.962s,PASSED
openBrowser,Firefox 59.0,,2018-06-29 13:17:43,2018-06-29 13:17:46,3.959s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-29 13:17:46,2018-06-29 13:17:47,0.753s,PASSED
setText,Firefox 59.0,,2018-06-29 13:17:47,2018-06-29 13:17:47,0.107s,PASSED
setText,Firefox 59.0,,2018-06-29 13:17:47,2018-06-29 13:17:47,0.060s,PASSED
click,Firefox 59.0,,2018-06-29 13:17:47,2018-06-29 13:17:49,1.997s,PASSED
setText,Firefox 59.0,,2018-06-29 13:17:49,2018-06-29 13:17:49,0.102s,PASSED
click,Firefox 59.0,,2018-06-29 13:17:49,2018-06-29 13:17:50,0.331s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-29 13:17:50,2018-06-29 13:17:54,4.001s,PASSED
click,Firefox 59.0,,2018-06-29 13:17:54,2018-06-29 13:17:54,0.332s,PASSED
click,Firefox 59.0,,2018-06-29 13:17:54,2018-06-29 13:17:55,0.529s,PASSED
check,Firefox 59.0,,2018-06-29 13:17:55,2018-06-29 13:17:55,0.296s,PASSED
click,Firefox 59.0,,2018-06-29 13:17:55,2018-06-29 13:17:55,0.305s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-29 13:17:55,2018-06-29 13:17:59,4.002s,PASSED
click,Firefox 59.0,,2018-06-29 13:17:59,2018-06-29 13:18:00,0.978s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:00,2018-06-29 13:18:01,0.490s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:01,2018-06-29 13:18:01,0.244s,PASSED
check,Firefox 59.0,,2018-06-29 13:18:01,2018-06-29 13:18:01,0.491s,PASSED
uncheck,Firefox 59.0,,2018-06-29 13:18:01,2018-06-29 13:18:02,0.274s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:02,2018-06-29 13:18:03,1.374s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-29 13:18:03,2018-06-29 13:18:07,4.000s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:07,2018-06-29 13:18:07,0.286s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:07,2018-06-29 13:18:08,0.288s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:08,2018-06-29 13:18:08,0.362s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:08,2018-06-29 13:18:08,0.273s,PASSED
Statement - date = new java.util.Date(),Firefox 59.0,,2018-06-29 13:18:08,2018-06-29 13:18:08,0.005s,PASSED
Statement - sdf = new java.text.SimpleDateFormat(yyyy-MM-dd HH:mm:ss),Firefox 59.0,,2018-06-29 13:18:08,2018-06-29 13:18:08,0.000s,PASSED
Statement - aDate = sdf.format(new java.util.Date()),Firefox 59.0,,2018-06-29 13:18:08,2018-06-29 13:18:08,0.000s,PASSED
"Statement - OName = ""ATPLSandNAIP-"" + aDate",Firefox 59.0,,2018-06-29 13:18:08,2018-06-29 13:18:08,0.000s,PASSED
setText,Firefox 59.0,,2018-06-29 13:18:08,2018-06-29 13:18:09,0.162s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:09,2018-06-29 13:18:09,0.331s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:09,2018-06-29 13:18:09,0.304s,PASSED
delay,Firefox 59.0,,2018-06-29 13:18:09,2018-06-29 13:18:12,3.001s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:12,2018-06-29 13:18:12,0.237s,PASSED
callTestCase,Firefox 59.0,,2018-06-29 13:18:12,2018-06-29 13:18:16,4.028s,PASSED
