Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User,Firefox 59.0,,2018-06-28 14:09:13,2018-06-28 14:10:53,1m - 39.307s,PASSED
,,,,,,
Test Cases/Landsat8AndNAIPOrder,Firefox 59.0,"Submits an order by taking the first landsat item and the first NAIP item from the search results,  found using an AOI set by the view centered on Birmingham AL\n\nRequires standard USER group",2018-06-28 14:09:14,2018-06-28 14:10:53,1m - 38.982s,PASSED
callTestCase,Firefox 59.0,,2018-06-28 14:09:14,2018-06-28 14:09:15,1.026s,PASSED
openBrowser,Firefox 59.0,,2018-06-28 14:09:15,2018-06-28 14:09:21,6.047s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-28 14:09:21,2018-06-28 14:09:23,1.550s,PASSED
setText,Firefox 59.0,,2018-06-28 14:09:23,2018-06-28 14:09:27,4.106s,PASSED
setText,Firefox 59.0,,2018-06-28 14:09:27,2018-06-28 14:09:31,4.060s,PASSED
click,Firefox 59.0,,2018-06-28 14:09:31,2018-06-28 14:09:35,4.030s,PASSED
setText,Firefox 59.0,,2018-06-28 14:09:35,2018-06-28 14:09:39,4.060s,PASSED
click,Firefox 59.0,,2018-06-28 14:09:39,2018-06-28 14:09:41,2.247s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-28 14:09:41,2018-06-28 14:09:45,4.005s,PASSED
click,Firefox 59.0,,2018-06-28 14:09:45,2018-06-28 14:09:48,2.311s,PASSED
click,Firefox 59.0,,2018-06-28 14:09:48,2018-06-28 14:09:50,2.309s,PASSED
check,Firefox 59.0,,2018-06-28 14:09:50,2018-06-28 14:09:53,3.278s,PASSED
click,Firefox 59.0,,2018-06-28 14:09:53,2018-06-28 14:09:56,2.549s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-28 14:09:56,2018-06-28 14:10:00,4.000s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:00,2018-06-28 14:10:02,2.315s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:02,2018-06-28 14:10:04,2.306s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:04,2018-06-28 14:10:07,2.236s,PASSED
check,Firefox 59.0,,2018-06-28 14:10:07,2018-06-28 14:10:10,3.244s,PASSED
uncheck,Firefox 59.0,,2018-06-28 14:10:10,2018-06-28 14:10:13,3.241s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:13,2018-06-28 14:10:17,3.513s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-28 14:10:17,2018-06-28 14:10:21,4.001s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:21,2018-06-28 14:10:23,2.259s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:23,2018-06-28 14:10:25,2.280s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:25,2018-06-28 14:10:27,2.329s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:27,2018-06-28 14:10:30,2.273s,PASSED
Statement - date = new java.util.Date(),Firefox 59.0,,2018-06-28 14:10:30,2018-06-28 14:10:30,0.004s,PASSED
Statement - sdf = new java.text.SimpleDateFormat(yyyy-MM-dd HH:mm:ss),Firefox 59.0,,2018-06-28 14:10:30,2018-06-28 14:10:30,0.000s,PASSED
Statement - aDate = sdf.format(new java.util.Date()),Firefox 59.0,,2018-06-28 14:10:30,2018-06-28 14:10:30,0.000s,PASSED
"Statement - OName = ""ATPLSandNAIP-"" + aDate",Firefox 59.0,,2018-06-28 14:10:30,2018-06-28 14:10:30,0.000s,PASSED
setText,Firefox 59.0,,2018-06-28 14:10:30,2018-06-28 14:10:34,4.157s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:34,2018-06-28 14:10:36,2.294s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:36,2018-06-28 14:10:38,2.288s,PASSED
delay,Firefox 59.0,,2018-06-28 14:10:38,2018-06-28 14:10:41,3.005s,PASSED
click,Firefox 59.0,,2018-06-28 14:10:41,2018-06-28 14:10:44,2.227s,PASSED
callTestCase,Firefox 59.0,,2018-06-28 14:10:44,2018-06-28 14:10:53,9.040s,PASSED
