Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User,Firefox 59.0,,2018-06-29 13:18:39,2018-06-29 13:19:14,34.663s,PASSED
,,,,,,
Test Cases/Landsat8AndNAIPOrder,Firefox 59.0,"Submits an order by taking the first landsat item and the first NAIP item from the search results,  found using an AOI set by the view centered on Birmingham AL\n\nRequires standard USER group",2018-06-29 13:18:39,2018-06-29 13:19:14,34.370s,PASSED
callTestCase,Firefox 59.0,,2018-06-29 13:18:40,2018-06-29 13:18:41,1.009s,PASSED
openBrowser,Firefox 59.0,,2018-06-29 13:18:41,2018-06-29 13:18:45,4.008s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-29 13:18:45,2018-06-29 13:18:45,0.556s,PASSED
setText,Firefox 59.0,,2018-06-29 13:18:45,2018-06-29 13:18:45,0.122s,PASSED
setText,Firefox 59.0,,2018-06-29 13:18:45,2018-06-29 13:18:46,0.053s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:46,2018-06-29 13:18:48,2.010s,PASSED
setText,Firefox 59.0,,2018-06-29 13:18:48,2018-06-29 13:18:48,0.112s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:48,2018-06-29 13:18:48,0.336s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-29 13:18:48,2018-06-29 13:18:52,4.016s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:52,2018-06-29 13:18:52,0.333s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:52,2018-06-29 13:18:53,0.573s,PASSED
check,Firefox 59.0,,2018-06-29 13:18:53,2018-06-29 13:18:53,0.266s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:53,2018-06-29 13:18:53,0.283s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-29 13:18:53,2018-06-29 13:18:57,4.001s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:57,2018-06-29 13:18:58,0.515s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:58,2018-06-29 13:18:58,0.284s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:58,2018-06-29 13:18:59,0.454s,PASSED
check,Firefox 59.0,,2018-06-29 13:18:59,2018-06-29 13:18:59,0.236s,PASSED
uncheck,Firefox 59.0,,2018-06-29 13:18:59,2018-06-29 13:18:59,0.245s,PASSED
click,Firefox 59.0,,2018-06-29 13:18:59,2018-06-29 13:19:00,1.246s,PASSED
Statement - java.lang.Thread.sleep(4000),Firefox 59.0,,2018-06-29 13:19:00,2018-06-29 13:19:04,4.000s,PASSED
click,Firefox 59.0,,2018-06-29 13:19:04,2018-06-29 13:19:05,0.276s,PASSED
click,Firefox 59.0,,2018-06-29 13:19:05,2018-06-29 13:19:05,0.295s,PASSED
click,Firefox 59.0,,2018-06-29 13:19:05,2018-06-29 13:19:05,0.350s,PASSED
click,Firefox 59.0,,2018-06-29 13:19:05,2018-06-29 13:19:06,0.284s,PASSED
Statement - date = new java.util.Date(),Firefox 59.0,,2018-06-29 13:19:06,2018-06-29 13:19:06,0.002s,PASSED
Statement - sdf = new java.text.SimpleDateFormat(yyyy-MM-dd HH:mm:ss),Firefox 59.0,,2018-06-29 13:19:06,2018-06-29 13:19:06,0.002s,PASSED
Statement - aDate = sdf.format(new java.util.Date()),Firefox 59.0,,2018-06-29 13:19:06,2018-06-29 13:19:06,0.000s,PASSED
"Statement - OName = ""ATPLSandNAIP-"" + aDate",Firefox 59.0,,2018-06-29 13:19:06,2018-06-29 13:19:06,0.000s,PASSED
setText,Firefox 59.0,,2018-06-29 13:19:06,2018-06-29 13:19:06,0.189s,PASSED
click,Firefox 59.0,,2018-06-29 13:19:06,2018-06-29 13:19:06,0.335s,PASSED
click,Firefox 59.0,,2018-06-29 13:19:06,2018-06-29 13:19:06,0.300s,PASSED
delay,Firefox 59.0,,2018-06-29 13:19:06,2018-06-29 13:19:09,3.000s,PASSED
click,Firefox 59.0,,2018-06-29 13:19:09,2018-06-29 13:19:10,0.234s,PASSED
callTestCase,Firefox 59.0,,2018-06-29 13:19:10,2018-06-29 13:19:14,4.049s,PASSED
