Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin,Firefox 61.0,This test suite exercises the functions in the Admin Console.\nAssumes the user had Company Admin access,2018-07-20 14:52:29,2018-07-20 14:54:47,2m - 17.834s,PASSED
,,,,,,
Test Cases/AdminGUISanity,Firefox 61.0,Tests presence of GUI section in Admin Console for System Admin login\nRequires System Admin role,2018-07-20 14:52:29,2018-07-20 14:52:41,11.862s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:52:29,2018-07-20 14:52:30,1.012s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:52:30,2018-07-20 14:52:30,0.138s,PASSED
openBrowser,Firefox 61.0,,2018-07-20 14:52:30,2018-07-20 14:52:35,4.071s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-20 14:52:35,2018-07-20 14:52:35,0.544s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:35,2018-07-20 14:52:35,0.116s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:35,2018-07-20 14:52:35,0.062s,PASSED
click,Firefox 61.0,,2018-07-20 14:52:35,2018-07-20 14:52:36,0.971s,PASSED
waitForPageLoad,Firefox 61.0,,2018-07-20 14:52:36,2018-07-20 14:52:36,0.055s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-20 14:52:36,2018-07-20 14:52:36,0.025s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-20 14:52:36,2018-07-20 14:52:36,0.075s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-20 14:52:36,2018-07-20 14:52:37,0.520s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-20 14:52:37,2018-07-20 14:52:37,0.011s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-20 14:52:37,2018-07-20 14:52:37,0.014s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-20 14:52:37,2018-07-20 14:52:37,0.013s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-20 14:52:37,2018-07-20 14:52:37,0.012s,PASSED
verifyElementPresent,Firefox 61.0,,2018-07-20 14:52:37,2018-07-20 14:52:37,0.011s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:52:37,2018-07-20 14:52:41,3.865s,PASSED
,,,,,,
Test Cases/AddATPOrganization,Firefox 61.0,Creates a new organization within the GeoCue company named ATPOrganization. fails if organization exists.\nPaired with Delete Organization\nRequires Company Admin Role,2018-07-20 14:52:41,2018-07-20 14:52:56,15.121s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:52:41,2018-07-20 14:52:41,0.099s,PASSED
openBrowser,Firefox 61.0,,2018-07-20 14:52:41,2018-07-20 14:52:44,2.767s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-20 14:52:44,2018-07-20 14:52:44,0.528s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:44,2018-07-20 14:52:44,0.072s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:44,2018-07-20 14:52:44,0.059s,PASSED
click,Firefox 61.0,,2018-07-20 14:52:44,2018-07-20 14:52:45,0.843s,PASSED
waitForPageLoad,Firefox 61.0,,2018-07-20 14:52:45,2018-07-20 14:52:45,0.008s,PASSED
waitForElementNotPresent,Firefox 61.0,,2018-07-20 14:52:45,2018-07-20 14:52:46,0.536s,PASSED
click,Firefox 61.0,,2018-07-20 14:52:46,2018-07-20 14:52:46,0.030s,PASSED
click,Firefox 61.0,,2018-07-20 14:52:46,2018-07-20 14:52:46,0.079s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:46,2018-07-20 14:52:46,0.333s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:46,2018-07-20 14:52:47,0.258s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:47,2018-07-20 14:52:47,0.197s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:47,2018-07-20 14:52:47,0.101s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:47,2018-07-20 14:52:47,0.056s,PASSED
click,Firefox 61.0,,2018-07-20 14:52:47,2018-07-20 14:52:47,0.249s,PASSED
delay,Firefox 61.0,Wait on success message to clear,2018-07-20 14:52:47,2018-07-20 14:52:52,5.000s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:52:52,2018-07-20 14:52:56,3.788s,PASSED
,,,,,,
Test Cases/DeleteATPOrganization,Firefox 61.0,Deletes ATPOrganization.\nPaired with AddATPOrganization\n\nRequires Company Admin role,2018-07-20 14:52:56,2018-07-20 14:53:11,14.866s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:52:56,2018-07-20 14:52:56,0.118s,PASSED
openBrowser,Firefox 61.0,,2018-07-20 14:52:56,2018-07-20 14:52:59,2.756s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-20 14:52:59,2018-07-20 14:52:59,0.507s,PASSED
setText,Firefox 61.0,,2018-07-20 14:52:59,2018-07-20 14:53:00,0.095s,PASSED
setText,Firefox 61.0,,2018-07-20 14:53:00,2018-07-20 14:53:00,0.063s,PASSED
click,Firefox 61.0,,2018-07-20 14:53:00,2018-07-20 14:53:01,0.979s,PASSED
waitForPageLoad,Firefox 61.0,,2018-07-20 14:53:01,2018-07-20 14:53:01,0.008s,PASSED
click,Firefox 61.0,,2018-07-20 14:53:01,2018-07-20 14:53:01,0.539s,PASSED
click,Firefox 61.0,,2018-07-20 14:53:01,2018-07-20 14:53:01,0.281s,PASSED
setText,Firefox 61.0,,2018-07-20 14:53:01,2018-07-20 14:53:02,0.161s,PASSED
click,Firefox 61.0,,2018-07-20 14:53:02,2018-07-20 14:53:02,0.248s,PASSED
click,Firefox 61.0,,2018-07-20 14:53:02,2018-07-20 14:53:02,0.234s,PASSED
delay,Firefox 61.0,,2018-07-20 14:53:02,2018-07-20 14:53:07,5.002s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:53:07,2018-07-20 14:53:11,3.779s,PASSED
,,,,,,
Test Cases/AdminBasics,Firefox 61.0,"Add and delete a User, Group and Organization\nRequires Company Admin Role",2018-07-20 14:53:11,2018-07-20 14:53:55,43.794s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:53:11,2018-07-20 14:53:11,0.089s,PASSED
openBrowser,Firefox 61.0,,2018-07-20 14:53:11,2018-07-20 14:53:14,2.783s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-20 14:53:14,2018-07-20 14:53:14,0.494s,PASSED
setText,Firefox 61.0,,2018-07-20 14:53:14,2018-07-20 14:53:14,0.080s,PASSED
setText,Firefox 61.0,,2018-07-20 14:53:14,2018-07-20 14:53:14,0.059s,PASSED
click,Firefox 61.0,,2018-07-20 14:53:14,2018-07-20 14:53:15,0.952s,PASSED
waitForPageLoad,Firefox 61.0,,2018-07-20 14:53:15,2018-07-20 14:53:15,0.011s,PASSED
waitForElementNotPresent,Firefox 61.0,,2018-07-20 14:53:15,2018-07-20 14:53:16,0.517s,PASSED
callTestCase,Firefox 61.0, Add Group,2018-07-20 14:53:16,2018-07-20 14:53:22,5.984s,PASSED
callTestCase,Firefox 61.0,Add Organization,2018-07-20 14:53:22,2018-07-20 14:53:28,6.067s,PASSED
callTestCase,Firefox 61.0,Add user,2018-07-20 14:53:28,2018-07-20 14:53:35,6.746s,PASSED
callTestCase,Firefox 61.0,delete User,2018-07-20 14:53:35,2018-07-20 14:53:40,5.511s,PASSED
callTestCase,Firefox 61.0,Delete Organization,2018-07-20 14:53:40,2018-07-20 14:53:46,5.341s,PASSED
callTestCase,Firefox 61.0,delete group,2018-07-20 14:53:46,2018-07-20 14:53:51,5.294s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:53:51,2018-07-20 14:53:55,3.779s,PASSED
,,,,,,
Test Cases/Reports,Firefox 61.0,Generates report for order for Geocue between 04/01/18 and 06/01/18\nGenerates report for users for Geocue\n\nRequires Admin Role System or company or Organization,2018-07-20 14:53:55,2018-07-20 14:54:23,27.956s,PASSED
callTestCase,Firefox 61.0,,2018-07-20 14:53:55,2018-07-20 14:53:55,0.101s,PASSED
