Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Firefox 61.0,,2018-07-23 13:16:29,2018-07-23 13:16:29,0.311s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:16:29,2018-07-23 13:16:33,4.044s,PASSED
,,,,,,
Test Cases/LidarLoader,Firefox 61.0,"Executes Lidar Loader to catalog files found in the S3 bucket gcesp-lidar/ATP, using an ATPLIdar prefix, and loading into the project ATPLidarProject, without copying the data into ESP, using an SRS file: Z:\\ESP\\Test_data\\swfwmd\\Hernando\\stplanFLWest.srs\nRequires standard USER group + CanExecuteLidarLoader",2018-07-23 13:16:33,2018-07-23 13:17:01,27.578s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:16:33,2018-07-23 13:16:33,0.111s,PASSED
openBrowser,Firefox 61.0,,2018-07-23 13:16:33,2018-07-23 13:16:36,2.789s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-23 13:16:36,2018-07-23 13:16:37,0.565s,PASSED
setText,Firefox 61.0,,2018-07-23 13:16:37,2018-07-23 13:16:37,0.083s,PASSED
setText,Firefox 61.0,,2018-07-23 13:16:37,2018-07-23 13:16:37,0.051s,PASSED
click,Firefox 61.0,,2018-07-23 13:16:37,2018-07-23 13:16:39,2.148s,PASSED
waitForElementClickable,Firefox 61.0,,2018-07-23 13:16:39,2018-07-23 13:16:39,0.021s,PASSED
click,Firefox 61.0,,2018-07-23 13:16:39,2018-07-23 13:16:39,0.283s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:16:39,2018-07-23 13:16:52,13.112s,PASSED
click,Firefox 61.0,,2018-07-23 13:16:52,2018-07-23 13:16:53,0.284s,PASSED
setText,Firefox 61.0,2 laz files from swfwmd/Hernando,2018-07-23 13:16:53,2018-07-23 13:16:53,0.681s,PASSED
setText,Firefox 61.0,,2018-07-23 13:16:53,2018-07-23 13:16:54,0.173s,PASSED
click,Firefox 61.0,,2018-07-23 13:16:54,2018-07-23 13:16:54,0.259s,PASSED
selectOptionByValue,Firefox 61.0,,2018-07-23 13:16:54,2018-07-23 13:16:54,0.317s,PASSED
sendKeys,Firefox 61.0,,2018-07-23 13:16:54,2018-07-23 13:16:54,0.052s,PASSED
Statement - Try,Firefox 61.0,,2018-07-23 13:16:54,2018-07-23 13:16:57,2.709s,PASSED
Statement - Finally,Firefox 61.0,,2018-07-23 13:16:57,2018-07-23 13:17:01,3.822s,PASSED
,,,,,,
Test Cases/OrthoLoader,Firefox 61.0,"Loads the orthos in the test folder into a new project. If the project exists, it deletes it and recreates it.\nRequires standard USER group + CanExecuteOrthoLoader",2018-07-23 13:17:01,2018-07-23 13:17:26,24.997s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:17:01,2018-07-23 13:17:01,0.102s,PASSED
openBrowser,Firefox 61.0,,2018-07-23 13:17:01,2018-07-23 13:17:04,2.775s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-23 13:17:04,2018-07-23 13:17:04,0.578s,PASSED
setText,Firefox 61.0,,2018-07-23 13:17:04,2018-07-23 13:17:04,0.083s,PASSED
setText,Firefox 61.0,,2018-07-23 13:17:04,2018-07-23 13:17:04,0.052s,PASSED
click,Firefox 61.0,,2018-07-23 13:17:04,2018-07-23 13:17:07,2.169s,PASSED
waitForElementClickable,Firefox 61.0,,2018-07-23 13:17:07,2018-07-23 13:17:07,0.022s,PASSED
click,Firefox 61.0,,2018-07-23 13:17:07,2018-07-23 13:17:07,0.278s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:17:07,2018-07-23 13:17:20,13.151s,PASSED
click,Firefox 61.0,,2018-07-23 13:17:20,2018-07-23 13:17:20,0.283s,PASSED
setText,Firefox 61.0,,2018-07-23 13:17:20,2018-07-23 13:17:21,0.165s,PASSED
setText,Firefox 61.0,,2018-07-23 13:17:21,2018-07-23 13:17:21,0.161s,PASSED
click,Firefox 61.0,,2018-07-23 13:17:21,2018-07-23 13:17:21,0.247s,PASSED
sendKeys,Firefox 61.0,,2018-07-23 13:17:21,2018-07-23 13:17:21,0.000s,NOT_RUN
click,Firefox 61.0,,2018-07-23 13:17:21,2018-07-23 13:17:21,0.274s,PASSED
click,Firefox 61.0,,2018-07-23 13:17:21,2018-07-23 13:17:22,0.754s,PASSED
callTestCase,Firefox 61.0,,2018-07-23 13:17:22,2018-07-23 13:17:26,3.791s,PASSED
