Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin,Chrome 67.0.3396.99,This test suite exercises the functions in the Admin Console.\nAssumes the user had Company Admin access,2018-07-30 16:22:33,2018-07-30 16:25:59,3m - 26.368s,PASSED
,,,,,,
Test Cases/AdminGUISanity,Chrome 67.0.3396.99,Tests presence of GUI section in Admin Console for System Admin login\nRequires System Admin role,2018-07-30 16:22:33,2018-07-30 16:23:01,28.092s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-30 16:22:34,2018-07-30 16:22:48,14.829s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-30 16:22:48,2018-07-30 16:22:50,1.186s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-30 16:22:50,2018-07-30 16:22:57,7.185s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-30 16:22:57,2018-07-30 16:22:57,0.051s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-30 16:22:57,2018-07-30 16:22:57,0.022s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-30 16:22:57,2018-07-30 16:22:57,0.021s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-30 16:22:57,2018-07-30 16:22:57,0.022s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-30 16:22:57,2018-07-30 16:22:57,0.021s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-30 16:22:57,2018-07-30 16:22:57,0.022s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-30 16:22:57,2018-07-30 16:22:57,0.023s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-30 16:22:57,2018-07-30 16:22:57,0.020s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-30 16:22:57,2018-07-30 16:23:01,4.420s,PASSED
,,,,,,
Test Cases/AdminBasics,Chrome 67.0.3396.99,"Add and delete a User, Group and Organization\nRequires Company Admin Role",2018-07-30 16:23:01,2018-07-30 16:24:12,1m - 10.615s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-30 16:23:01,2018-07-30 16:23:13,11.613s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-30 16:23:13,2018-07-30 16:23:14,1.107s,PASSED
waitForElementNotPresent,Chrome 67.0.3396.99,,2018-07-30 16:23:14,2018-07-30 16:23:21,6.659s,PASSED
callTestCase,Chrome 67.0.3396.99, Add Group,2018-07-30 16:23:21,2018-07-30 16:23:29,8.341s,PASSED
callTestCase,Chrome 67.0.3396.99,Add Organization,2018-07-30 16:23:29,2018-07-30 16:23:38,8.882s,PASSED
callTestCase,Chrome 67.0.3396.99,Add user,2018-07-30 16:23:38,2018-07-30 16:23:47,9.029s,PASSED
callTestCase,Chrome 67.0.3396.99,delete User,2018-07-30 16:23:47,2018-07-30 16:23:54,6.424s,PASSED
callTestCase,Chrome 67.0.3396.99,Delete Organization,2018-07-30 16:23:54,2018-07-30 16:24:01,7.010s,PASSED
callTestCase,Chrome 67.0.3396.99,delete group,2018-07-30 16:24:01,2018-07-30 16:24:08,7.090s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-30 16:24:08,2018-07-30 16:24:12,4.346s,PASSED
,,,,,,
Test Cases/Reports,Chrome 67.0.3396.99,Generates report for order for Geocue between 04/01/18 and 06/01/18\nGenerates report for users for Geocue\n\nRequires Admin Role System or company or Organization,2018-07-30 16:24:12,2018-07-30 16:25:03,51.364s,PASSED
